id,name,email
1,J.K. Rowling,jk.rowling@email.com
2,George Orwell,george.orwell@email.com
3,Jane Austen,jane.austen@email.com
4,Stephen King,stephen.king@email.com
5,Agatha Christie,agatha.christie@email.com
6,Mark Twain,mark.twain@email.com
7,Ernest Hemingway,ernest.hemingway@email.com
8,F. Scott Fitzgerald,f.fitzgerald@email.com
9,Charles Dickens,charles.dickens@email.com
10,Harper Lee,harper.lee@email.com
11,Gabriel García Márquez,gabriel.marquez@email.com
12,Toni Morrison,toni.morrison@email.com
13,Maya Angelou,maya.angelou@email.com
14,Virginia Woolf,virginia.woolf@email.com
15,Oscar Wilde,oscar.wilde@email.com
